WebSocket transport not available. Install eventlet or gevent and gevent-websocket for improved performance.
 * Running on http://127.0.0.1:5001/ (Press CTRL+C to quit)
127.0.0.1 - - [15/Jul/2026 19:06:06] "GET /api/config HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 19:06:07] "POST /api/simulation/reset HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 19:06:07] "POST /api/simulation/step HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:44:38] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:44:49] "GET /api/simulation/state HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:44:49] "GET /api/simulation/metrics HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:44:49] "GET /api/experiments/latest HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:44:49] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [15/Jul/2026 20:45:35] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:45:38] "GET /api/simulation/state HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:45:38] "GET /api/simulation/metrics HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:45:38] "GET /socket.io/?EIO=4&transport=polling&t=Pzbpx9Q HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:45:38] "GET /api/experiments/latest HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:45:39] "GET /socket.io/?EIO=4&transport=polling&t=PzbpxSN HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:45:39] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [15/Jul/2026 20:45:40] "POST /api/simulation/start HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:45:41] "POST /api/simulation/reset HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:45:41] "GET /api/simulation/state HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:45:41] "GET /api/simulation/metrics HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:45:42] "GET /socket.io/?EIO=4&transport=polling&t=Pzbpy76 HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:45:43] "POST /api/simulation/start HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:45:44] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:45:45] "GET /api/simulation/state HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:45:45] "GET /api/simulation/metrics HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:45:45] "GET /api/experiments/latest HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:45:45] "GET /socket.io/?EIO=4&transport=polling&t=PzbpysY HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:45:46] "GET /socket.io/?EIO=4&transport=polling&t=Pzbpz4n HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:45:47] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:45:49] "GET /api/simulation/state HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:45:49] "GET /api/simulation/metrics HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:45:49] "GET /socket.io/?EIO=4&transport=polling&t=Pzbpznz HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:45:49] "GET /api/experiments/latest HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:45:50] "GET /socket.io/?EIO=4&transport=polling&t=Pzbp-4f HTTP/1.1" 200 -
